PARTIDA_ESPECIFICA,DESCRIPCION
11101,(Derogada)
11201,Haberes
11301,Sueldos base
11401,Retribuciones por adscripción en el extranjero
12101,Honorarios
12201,Remuneraciones al personal eventual
12202,Compensaciones a sustitutos de profesores
12301,Retribuciones por servicios en período de formación profesional
12401,Retribución a los representantes de los trabajadores y de los patrones en la Junta Federal de Conciliación y Arbitraje
13101,Prima quinquenal por años de servicios efectivos prestados
13102,Acreditación por años de servicio en la docencia y al personal administrativo de las instituciones de educación superior
13103,"Prima de perseverancia por años de servicio activo en el Ejército, Fuerza Aérea y Armada Mexicanos"
13104,Antigüedad
13201,Primas de vacaciones y dominical
13202,Aguinaldo o gratificación de fin de año
13301,Remuneraciones por horas extraordinarias
13401,Acreditación por titulación en la docencia
13402,Acreditación al personal docente por años de estudio de licenciatura
13403,Compensaciones por servicios especiales
13404,Compensaciones por servicios eventuales
13405,Compensaciones de retiro
13406,Compensaciones de servicios
13407,Compensaciones adicionales por servicios especiales
13408,"Asignaciones docentes, pedagógicas genéricas y específicas"
13409,Compensación por adquisición de material didáctico
13410,Compensación por actualización y formación académica
13411,Compensaciones a médicos residentes
13412,Gastos contingentes para el personal radicado en el extranjero
13413,Asignaciones para la conclusión de servicios en la Administración Pública Federal
13414,Asignaciones conforme al régimen laboral
13501,Sobrehaberes
13601,Asignaciones de técnico
13602,Asignaciones de mando
13603,Asignaciones por comisión
13604,Asignaciones de vuelo
13605,Asignaciones de técnico especial
13701,Honorarios especiales
13801,Participaciones por vigilancia en el cumplimiento de las leyes y custodia de valores
14101,Aportaciones al ISSSTE
14102,Aportaciones al ISSFAM
14103,Aportaciones al IMSS
14104,Aportaciones de seguridad social contractuales
14105,Aportaciones al seguro de cesantía en edad avanzada y vejez
14201,Aportaciones al FOVISSSTE
14202,Aportaciones al INFONAVIT
14301,Aportaciones al Sistema de Ahorro para el Retiro
14302,Depósitos para el ahorro solidario
14401,Cuotas para el seguro de vida del personal civil
14402,Cuotas para el seguro de vida del personal militar
14403,Cuotas para el seguro de gastos médicos del personal civil
14404,Cuotas para el seguro de separación individualizado
14405,Cuotas para el seguro colectivo de retiro
14406,"Seguro de responsabilidad civil, asistencia legal y otros seguros"
15101,Cuotas para el fondo de ahorro del personal civil
15102,"Cuotas para el fondo de ahorro de generales, almirantes, jefes y oficiales"
15103,"Cuotas para el fondo de trabajo del personal del Ejército, Fuerza Aérea y Armada Mexicanos"
15201,Indemnizaciones por accidentes en el trabajo
15202,Pago de liquidaciones
15301,Prestaciones de retiro
15401,Prestaciones establecidas por condiciones generales de trabajo o contratos colectivos de trabajo
15402,Compensación garantizada
15403,Asignaciones adicionales al sueldo
15501,Apoyos a la capacitación de los servidores públicos
15901,Otras prestaciones
15902,Pago extraordinario por riesgo
16101,Incrementos a las percepciones
16102,Creación de plazas
16103,Otras medidas de carácter laboral y económico
16104,Previsiones para aportaciones al ISSSTE
16105,Previsiones para aportaciones al FOVISSSTE
16106,Previsiones para aportaciones al Sistema de Ahorro para el Retiro
16107,Previsiones para aportaciones al seguro de cesantía en edad avanzada y vejez
16108,Previsiones para los depósitos al ahorro solidario
16109,Previsiones por adecuaciones a las estructuras ocupacionales
17101,Estímulos por productividad y eficiencia
17102,Estímulos al personal operativo
21101,Materiales y útiles de oficina
21201,Materiales y útiles de impresión y reproducción
21301,Material estadístico y geográfico
21401,Materiales y útiles consumibles para el procesamiento en equipos y bienes informáticos
21501,Material de apoyo informativo
21502,Material para información en actividades de investigación científica y tecnológica
21601,Material de limpieza
21701,Materiales y suministros para planteles educativos
22101,"Productos alimenticios para el Ejército, Fuerza Aérea y Armada Mexicanos, y para los efectivos que participen en programas de seguridad pública"
22102,"Productos alimenticios para personas derivado de la prestación de servicios públicos en unidades de salud, educativas, de readaptación social y otras"
22103,Productos alimenticios para el personal que realiza labores en campo o de supervisión
22104,Productos alimenticios para el personal en las instalaciones de las dependencias y entidades
22105,Productos alimenticios para la población en caso de desastres naturales
22106,Productos alimenticios para el personal derivado de actividades extraordinarias
22201,Productos alimenticios para animales
22301,Utensilios para el servicio de alimentación
23101,"Productos alimenticios, agropecuarios y forestales adquiridos como materia prima"
23201,Insumos textiles adquiridos como materia prima
23301,"Productos de papel, cartón e impresos adquiridos como materia prima"
23401,"Combustibles, lubricantes, aditivos, carbón y sus derivados adquiridos como materia prima"
23501,"Productos químicos, farmacéuticos y de laboratorio adquiridos como materia prima"
23601,Productos metálicos y a base de minerales no metálicos adquiridos como materia prima
23701,"Productos de cuero, piel, plástico y hule adquiridos como materia prima"
23801,Mercancías para su comercialización en tiendas del sector público
23901,Otros productos adquiridos como materia prima
23902,"Petróleo, gas y sus derivados adquiridos como materia prima"
24101,Productos minerales no metálicos
24201,Cemento y productos de concreto
24301,"Cal, yeso y productos de yeso"
24401,Madera y productos de madera
24501,Vidrio y productos de vidrio
24601,Material eléctrico y electrónico
24701,Artículos metálicos para la construcción
24801,Materiales complementarios
24901,Otros materiales y artículos de construcción y reparación
25101,Productos químicos básicos
25201,"Plaguicidas, abonos y fertilizantes"
25301,Medicinas y productos farmacéuticos
25401,"Materiales, accesorios y suministros médicos"
25501,"Materiales, accesorios y suministros de laboratorio"
25601,"Fibras sintéticas, hules, plásticos y derivados"
25901,Otros productos químicos
26101,"Combustibles, lubricantes y aditivos para vehículos terrestres, aéreos, marítimos, lacustres y fluviales destinados a la ejecución de programas de seguridad pública y nacional"
26102,"Combustibles, lubricantes y aditivos para vehículos terrestres, aéreos, marítimos, lacustres y fluviales destinados a servicios públicos y la operación de programas públicos"
26103,"Combustibles, lubricantes y aditivos para vehículos terrestres, aéreos, marítimos, lacustres y fluviales destinados a servicios administrativos"
26104,"Combustibles, lubricantes y aditivos para vehículos terrestres, aéreos, marítimos, lacustres y fluviales asignados a servidores públicos"
26105,"Combustibles, lubricantes y aditivos para maquinaria, equipo de producción y servicios administrativos"
26106,PIDIREGAS cargos variables
26107,Combustibles nacionales para plantas productivas
26108,Combustibles de importación para plantas productivas
27101,Vestuario y uniformes
27201,Prendas de protección personal
27301,Artículos deportivos
27401,Productos textiles
27501,"Blancos y otros productos textiles, excepto prendas de vestir"
28101,Sustancias y materiales explosivos
28201,Materiales de seguridad pública
28301,Prendas de protección para seguridad pública y nacional
29101,Herramientas menores
29201,Refacciones y accesorios menores de edificios
29301,"Refacciones y accesorios menores de mobiliario y equipo de administración, educacional y recreativo"
29401,Refacciones y accesorios para equipo de cómputo y telecomunicaciones
29501,Refacciones y accesorios menores de equipo e instrumental médico y de laboratorio
29601,Refacciones y accesorios menores de equipo de transporte
29701,Refacciones y accesorios menores de equipo de defensa y seguridad
29801,Refacciones y accesorios menores de maquinaria y otros equipos
29901,Refacciones y accesorios menores otros bienes muebles
31101,Servicio de energía eléctrica
31201,Servicio de gas
31301,Servicio de agua
31401,Servicio telefónico convencional
31501,Servicio de telefonía celular
31601,Servicio de radiolocalización
31602,Servicios de telecomunicaciones
31603,Servicios de Internet
31701,Servicios de conducción de señales analógicas y digitales
31801,Servicio postal
31802,Servicio telegráfico
31901,Servicios integrales de telecomunicación
31902,Contratación de otros servicios
31903,Servicios generales para planteles educativos
31904,Servicios integrales de infraestructura de cómputo
32101,Arrendamiento de terrenos
32201,Arrendamiento de edificios y locales
32301,Arrendamiento de equipo y bienes informáticos
32302,Arrendamiento de mobiliario
32303,Arrendamiento de equipo de telecomunicaciones
