PARTIDA_GENERICA,DESCRIPCION
111,Dietas
112,Haberes
113,Sueldos base al personal permanente
114,Remuneraciones por adscripción laboral en el extranjero
121,Honorarios asimilables a salarios
122,Sueldos base al personal eventual
123,Retribuciones por servicios de carácter social
124,Retribución a los representantes de los trabajadores y de los patrones en la Junta de Conciliación y Arbitraje
131,Primas por años de servicios efectivos prestados
132,"Primas de vacaciones, dominical y gratificación de fin de año"
133,Horas extraordinarias
134,Compensaciones
135,Sobrehaberes
136,"Asignaciones de técnico, de mando, por comisión, de vuelo y de técnico especial"
137,Honorarios especiales
138,Participaciones por vigilancia en el cumplimiento de las leyes y custodia de valores
141,Aportaciones de seguridad social
142,Aportaciones a fondos de vivienda
143,Aportaciones al sistema para el retiro
144,Aportaciones para seguros
151,Cuotas para el fondo de ahorro y fondo de trabajo
152,Indemnizaciones
153,Prestaciones y haberes de retiro
154,Prestaciones contractuales
155,Apoyos a la capacitación de los servidores públicos
159,Otras prestaciones sociales y económicas
161,"Previsiones de carácter laboral, económica y de seguridad social"
171,Estímulos
172,Recompensas
211,"Materiales, útiles y equipos menores de oficina"
212,Materiales y útiles de impresión y reproducción
217,Materiales y útiles de enseñanza
218,Materiales para el registro e identificación de bienes y personas
221,Productos alimenticios para personas
222,Productos alimenticios para animales
223,Utensilios para el servicio de alimentación
231,"Productos alimenticios, agropecuarios y forestales adquiridos como materia prima"
232,Insumos textiles adquiridos como materia prima
233,"Productos de papel, cartón e impresos adquiridos como materia prima"
234,"Combustibles, lubricantes, aditivos, carbón y sus derivados adquiridos como materia prima"
235,"Productos químicos, farmacéuticos y de laboratorio adquiridos como materia prima"
236,Productos metálicos y a base de minerales no metálicos adquiridos como materia prima
237,"Productos de cuero, piel, plástico y hule adquiridos como materia prima"
238,Mercancías adquiridas para su comercialización
239,Otros productos adquiridos como materia prima
241,Productos minerales no metálicos
242,Cemento y productos de concreto
243,"Cal, yeso y productos de yeso"
244,Madera y productos de madera
245,Vidrio y productos de vidrio
246,Material eléctrico y electrónico
247,Artículos metálicos para la construcción
248,Materiales complementarios
